Name,代码,粉丝数
*ST东数 ,(SZ:002248),449
大洋电机 ,(SZ:002249),1131
联化科技 ,(SZ:002250),907
步步高 ,(SZ:002251),1500
上海莱士 ,(SZ:002252),1762
川大智胜 ,(SZ:002253),2981
泰和新材 ,(SZ:002254),1492
海陆重工 ,(SZ:002255),992
彩虹精化 ,(SZ:002256),1252
利尔化学 ,(SZ:002258),406
升达林业 ,(SZ:002259),573
伊立浦 ,(SZ:002260),893
拓维信息 ,(SZ:002261),3496
恩华药业 ,(SZ:002262),2426
大东南 ,(SZ:002263),1155
新华都 ,(SZ:002264),740
西仪股份 ,(SZ:002265),327
浙富控股 ,(SZ:002266),1291
陕天然气 ,(SZ:002267),803
卫士通 ,(SZ:002268),1749
美邦服饰 ,(SZ:002269),2013
法因数控 ,(SZ:002270),659
东方雨虹 ,(SZ:002271),1920
川润股份 ,(SZ:002272),506
水晶光电 ,(SZ:002273),5027
华昌化工 ,(SZ:002274),1121
桂林三金 ,(SZ:002275),3461
万马股份 ,(SZ:002276),1198
友阿股份 ,(SZ:002277),4154
神开股份 ,(SZ:002278),1066
久其软件 ,(SZ:002279),987
新世纪 ,(SZ:002280),1460
光迅科技 ,(SZ:002281),1483
博深工具 ,(SZ:002282),648
天润曲轴 ,(SZ:002283),992
亚太股份 ,(SZ:002284),1076
世联行 ,(SZ:002285),3940
保龄宝 ,(SZ:002286),1068
奇正藏药 ,(SZ:002287),790
超华科技 ,(SZ:002288),957
宇顺电子 ,(SZ:002289),940
禾盛新材 ,(SZ:002290),339
星期六 ,(SZ:002291),613
奥飞动漫 ,(SZ:002292),4754
