Code,Name,港股市值
00948,融达控股,Error
00950,李氏大药厂,58亿
00951,超威动力,36亿
00952,华富国际,6亿
00953,美克国际,4亿
00956,新天绿色能源,29亿
00958,华能新能源,89亿
00959,奥玛仕控股,2亿
00960,龙湖地产,519亿
00963,华熙生物科技,37亿
00966,中国太平,606亿
00967,桑德国际,128亿
00968,信义光能,138亿
00969,华联国际,8亿
00970,耀莱集团,10亿
00973,LOCCITANE,285亿
00975,MONGOLMINING,37亿
00976,齐合天地,29亿
00978,东力实业控股,55亿
00979,绿色能源科技集团,2亿
00980,联华超市,14亿
00981,中芯国际,276亿
00982,卓智控股,21亿
00983,瑞安建业,30亿
00984,永旺,23亿
00985,中科矿业,12亿
00986,中国环保能源,1亿
00987,中国再生能源投资,5亿
00988,楼东俊安资源,13亿
00989,润迅通信国际,6亿
00990,荣晖国际,8亿
00991,大唐发电,136亿
00992,联想集团,1177亿
00993,天行国际,Error
00995,安徽皖通高速公路,25亿
00996,嘉年华国际,173亿
00997,普汇中金国际,15亿
00998,中信银行,855亿
00999,I.T,27亿
01000,北青传媒,2亿
01001,VANSHUNGCHONG,6亿
01002,威铖国际,8亿
01003,21控股,6亿
01004,丽盛集团控股,87亿
01005,MATRIXHOLDINGS,15亿
01006,长寿花食品,34亿
01007,大庆乳业,Error
01008,贵联控股,23亿
01009,国际娱乐,33亿
01010,弘茂科技,4亿
01011,泰凌医药,11亿
01013,伟俊集团控股,9亿
01019,康宏理财,4亿
01020,华耐控股,5亿
01021,麦达斯控股─Ｓ,18亿
01023,时代集团控股,63亿
01025,物美商业,39亿
01026,环球实业科技,9亿
01028,千百度,44亿
01029,铁货,26亿
01030,新城发展控股,38亿
01031,金利丰金融,115亿
01033,仪征化纤股份,46亿
01036,万科置业海外,16亿
01037,DAIWAASSOCIATE,4亿
01038,长江基建集团,1410亿
01039,畅丰车桥,5亿
01040,M&G化工,Error
01041,中国新能源动力,11亿
01043,光宇国际集团科技,22亿
01044,恒安国际,969亿
01045,亚太卫星,68亿
01046,寰宇国际,2亿
01047,毅兴行,2亿
01048,新源控股,2亿
01049,时富投资,2亿
01050,嘉利国际,7亿
01051,国际资源,51亿
01052,越秀交通基建,82亿
01053,重庆钢铁股份,9亿
01055,中国南方航空股份,104亿
01057,浙江世宝,6亿
01058,粤海制革,3亿
01059,看通集团,9亿
01060,文化中国传播,Error
01061,亿胜生物科技,17亿
01063,新确科技,22亿
01064,中华国际,1亿
01065,天津创业环保股份,18亿
01066,威高股份,118亿
01068,雨润食品,56亿
01069,江晨国际,11亿
01070,TCL多媒体,46亿
01071,华电国际电力股份,104亿
01072,东方电气,44亿
01073,浩伦农科,Error
01075,首都信息,4亿
01076,第一天然食品,124亿
01079,松景科技,2亿
01080,胜利管道,11亿
01082,现代教育,1亿
01083,港华燃气,213亿
01085,亨鑫科技,5亿
01086,好孩子国际,30亿
01087,泓淋科技,13亿
01088,中国神华,766亿
01089,森宝食品,17亿
01090,大明国际,24亿
01091,中信大锰,16亿
01093,石药集团,407亿
01094,中国公共采购,30亿
01096,动感集团,17亿
01097,I-CABLECOMM,14亿
01098,ROADKINGINFRA,48亿
01099,国药控股,331亿
01100,飞达控股,5亿
01101,中国熔盛重工,81亿
01102,环能国际,6亿
01103,上海栋华,4亿
01104,亚太资源,9亿
01105,星岛,9亿
01106,中国海景,2亿
01107,当代置业,20亿
01108,洛阳玻璃股份,Error
01109,华润置地,1160亿
01110,金活医药集团,13亿
01111,创兴银行,72亿
01112,合生元,93亿
01114,BRILLIANCECHI,649亿
01115,西藏５１００,80亿
01116,MAYERHOLDINGS,Error
01117,现代牧业,112亿
01118,高力集团,4亿
01120,雅视光学,11亿
01121,宝峰时尚,6亿
01122,庆铃汽车股份,31亿
01123,中港照相,5亿
01124,沿海家园,10亿
01125,丽丰控股,25亿
01126,德林国际,7亿
01127,汇星印刷,8亿
01128,永利澳门,1148亿
01129,中国水业集团,20亿
01130,中国环境资源,1亿
01131,鸿宝资源,25亿
01132,橙天嘉禾,14亿
01133,哈尔滨电气,31亿
01135,ASIASATELLITE,105亿
01136,台泥国际集团,100亿
01137,香港电视,28亿
01138,中海发展股份,65亿
01139,华多利集团,2亿
01141,保兴资本,5亿
01142,西伯利亚矿业,Error
01143,中慧国际控股,2亿
01145,勇利航业,4亿
01146,中国服饰控股,32亿
01148,新晨动力,43亿
01149,中国安芯,15亿
01150,米兰站,4亿
01151,依利安达,17亿
01152,丰临集团,9亿
01155,星辰通信,6亿
01157,中联重科,79亿
01159,泰盛实业集团,60亿
01161,奥思集团,5亿
01163,德金资源,Error
01164,中广核矿业,26亿
01165,顺风光电,159亿
01166,蒙古矿业,1亿
01168,百仕达控股,21亿
01169,海尔电器,542亿
01170,信星集团,9亿
01171,兖州煤业股份,126亿
01172,勤达集团国际,3亿
01173,威高国际,8亿
01174,太平洋恩利,14亿
01175,福记食品服务,6亿
01176,珠光控股,72亿
01177,中国生物制药,357亿
01178,天年生物,6亿
01180,汇彩控股,37亿
01181,唐宫中国,6亿
01182,中青基业,2亿
01184,S.A.S.DRAGON,11亿
01185,中国航天万源,34亿
01186,中国铁建,Error
01187,珠江轮胎,Error
01188,正道集团,23亿
01189,珀丽酒店,3亿
01190,航标控股,28亿
01191,粤首环保,4亿
01192,泰山石化,Error
01193,华润燃气,444亿
01194,中国贵金属,33亿
01195,京维集团,19亿
01196,昌明投资,13亿
01198,皇朝家俬,3亿
01199,中远太平洋,314亿
01200,美联集团,28亿
01201,侨威集团,Error
01202,成都普天电缆股份,2亿
01203,广南（集团）,9亿
01205,中信资源,83亿
01206,同方泰德,21亿
01207,上置集团,12亿
01208,五矿资源,130亿
01210,克莉丝汀,4亿
01211,比亚迪股份,356亿
