Code,Name,总市值
600850,华东电脑,194亿
600851,海欣股份,179亿
600852,*ST中川,0
600853,龙建股份,45亿
600854,春兰股份,44亿
600855,航天长峰,114亿
600856,长百集团,157亿
600857,工大首创,56亿
600858,银座股份,51亿
600859,王府井,136亿
600860,京城股份,47亿
600861,北京城乡,45亿
600862,南通科技,119亿
600863,内蒙华电,356亿
600864,哈投股份,102亿
600865,百大集团,63亿
600866,星湖科技,53亿
600867,通化东宝,274亿
600868,梅雁吉祥,110亿
600869,智慧能源,235亿
600870,厦华电子,39亿
600871,石化油服,1492亿
600872,中炬高新,146亿
600873,梅花生物,346亿
600874,创业环保,215亿
600875,东方电气,655亿
600876,洛阳玻璃,66亿
600877,中国嘉陵,78亿
600878,*ST北科,0
600879,航天电子,229亿
600880,博瑞传播,163亿
600881,亚泰集团,215亿
600882,华联矿业,44亿
600883,博闻科技,34亿
600884,杉杉股份,115亿
600885,宏发股份,163亿
600886,国投电力,875亿
600887,伊利股份,1185亿
600888,新疆众和,79亿
600889,南京化纤,50亿
600890,中房股份,59亿
600891,秋林集团,34亿
600892,宝诚股份,27亿
600893,中航动力,1087亿
600894,广日股份,230亿
600895,张江高科,387亿
600896,中海海盛,48亿
600897,厦门空港,87亿
600898,三联商社,35亿
600899,*ST信联,0
600900,长江电力,2159亿
600917,重庆燃气,219亿
600958,东方证券,1702亿
600959,N有线,-
600960,渤海活塞,58亿
600961,株冶集团,93亿
600962,国投中鲁,50亿
600963,岳阳林纸,80亿
600965,福成五丰,74亿
600966,博汇纸业,74亿
600967,北方创业,141亿
600969,郴电国际,60亿
600970,中材国际,201亿
600971,恒源煤电,107亿
600973,宝胜股份,66亿
600975,新五丰,56亿
600976,健民集团,58亿
600978,宜华木业,209亿
600979,广安爱众,66亿
600980,北矿磁材,31亿
600981,汇鸿股份,60亿
600982,宁波热电,71亿
600983,惠而浦,123亿
600984,*ST建机,25亿
600985,雷鸣科化,39亿
600986,科达股份,57亿
600987,航民股份,94亿
600988,赤峰黄金,114亿
600990,四创电子,94亿
600991,广汽长丰,92亿
600992,贵绳股份,40亿
600993,马应龙,100亿
600995,文山电力,50亿
600997,开滦股份,110亿
600998,九州通,428亿
600999,招商证券,2135亿
601000,唐山港,335亿
601001,大同煤业,177亿
601002,晋亿实业,183亿
601003,柳钢股份,144亿
601005,重庆钢铁,222亿
601006,大秦铁路,2128亿
601007,金陵饭店,71亿
601008,连云港,130亿
601009,南京银行,500亿
601010,文峰股份,279亿
601011,宝泰隆,85亿
601012,隆基股份,330亿
601015,陕西黑猫,117亿
601016,节能风电,289亿
601018,宁波港,1153亿
601021,春秋航空,452亿
601028,玉龙股份,104亿
601038,一拖股份,170亿
601058,赛轮金宇,108亿
601069,西部黄金,136亿
601088,中国神华,4861亿
601098,中南传媒,426亿
601099,太平洋,534亿
601100,恒立油缸,99亿
601101,昊华能源,129亿
601106,中国一重,893亿
601107,四川成渝,219亿
601111,中国国航,1721亿
601113,华鼎股份,73亿
601116,三江购物,52亿
601117,中国化学,643亿
601118,海南橡胶,468亿
601126,四方股份,125亿
601137,博威合金,52亿
601139,深圳燃气,244亿
601158,重庆水务,535亿
601166,兴业银行,3739亿
601168,西部矿业,294亿
601169,北京银行,1362亿
601177,杭齿前进,47亿
601179,中国西电,646亿
601186,中国铁建,3201亿
601188,龙江交通,95亿
601198,东兴证券,799亿
601199,江南水务,84亿
601208,东材科技,72亿
601216,内蒙君正,495亿
601218,吉鑫科技,120亿
601222,林洋电子,156亿
601225,陕西煤业,1050亿
601226,华电重工,187亿
601231,环旭电子,437亿
601233,桐昆股份,159亿
601238,广汽集团,864亿
601258,庞大集团,321亿
601268,*ST二重,53亿
601288,农业银行,12991亿
601299,中国北车,4385亿
601311,骆驼股份,178亿
601313,江南嘉捷,62亿
601318,中国平安,7889亿
601328,交通银行,5213亿
601333,广深铁路,495亿
601336,新华保险,1669亿
601339,百隆东方,146亿
601369,陕鼓动力,201亿
601377,兴业证券,929亿
601388,怡球资源,101亿
601390,中国中铁,4517亿
601398,工商银行,19602亿
601515,东风股份,196亿
601518,吉林高速,75亿
601519,大智慧,640亿
601555,东吴证券,724亿
601558,*ST锐电,447亿
601566,九牧王,115亿
601567,三星电气,222亿
601579,会稽山,63亿
601588,北辰实业,223亿
601599,鹿港科技,63亿
601600,中国铝业,1375亿
601601,中国太保,3244亿
601607,上海医药,735亿
601608,中信重工,176亿
601616,广电电气,83亿
601618,中国中冶,1878亿
601628,中国人寿,10853亿
601633,长城汽车,1725亿
601636,旗滨集团,116亿
601666,平煤股份,184亿
601668,中国建筑,3024亿
601669,中国电建,1319亿
601677,明泰铝业,76亿
601678,滨化股份,96亿
601688,华泰证券,1714亿
601689,拓普集团,161亿
601699,潞安环能,340亿
601700,风范股份,148亿
601717,郑煤机,169亿
601718,际华集团,429亿
601727,上海电气,2455亿
601766,中国南车,4742亿
601777,力帆股份,184亿
601788,光大证券,1202亿
601789,宁波建工,67亿
601798,蓝科高新,63亿
601799,星宇股份,69亿
601800,中国交建,3755亿
601801,皖新传媒,244亿
601808,中海油服,1428亿
601818,光大银行,2520亿
601857,中国石油,26812亿
601866,中海集运,1220亿
601872,招商轮船,475亿
601877,正泰电器,417亿
601880,大连港,361亿
601886,江河创建,154亿
601888,中国国旅,501亿
601890,亚星锚链,76亿
601898,中煤能源,1233亿
601899,紫金矿业,1130亿
601901,方正证券,1299亿
601908,京运通,178亿
601918,国投新集,282亿
601919,中国远洋,1450亿
601928,凤凰传媒,459亿
601929,吉视传媒,228亿
601933,永辉超市,482亿
601939,建设银行,17450亿
601958,金钼股份,465亿
601965,中国汽研,118亿
601969,海南矿业,391亿
601988,中国银行,14160亿
601989,中国重工,2814亿
601991,大唐发电,1111亿
601992,金隅股份,632亿
601996,丰林集团,56亿
601998,中信银行,3794亿
601999,出版传媒,85亿
603000,人民网,352亿
603001,奥康国际,102亿
603002,宏昌电子,48亿
603003,龙宇燃油,76亿
603005,晶方科技,129亿
603006,联明股份,39亿
603008,喜临门,65亿
603009,北特科技,31亿
603010,万盛股份,26亿
603011,合锻股份,51亿
603012,创力集团,86亿
603015,弘讯科技,55亿
603017,园区设计,61亿
603018,设计股份,83亿
603019,中科曙光,327亿
603020,爱普股份,72亿
603021,山东华鹏,16亿
603022,新通联,-
603025,大豪科技,95亿
603030,全筑股份,68亿
603077,和邦股份,178亿
603088,宁波精达,36亿
603099,长白山,52亿
603100,川仪股份,80亿
603111,康尼机电,89亿
603116,红蜻蜓,-
603118,共进股份,113亿
603123,翠微股份,71亿
603126,中材节能,90亿
603128,华贸物流,101亿
603158,腾龙股份,38亿
603166,福达股份,90亿
603167,渤海轮渡,90亿
603168,莎普爱思,82亿
603169,兰石重装,194亿
603188,亚邦股份,191亿
603199,九华旅游,48亿
603222,济民制药,42亿
603227,雪峰科技,-
603268,松发股份,28亿
603288,海天味业,903亿
603306,华懋科技,51亿
603308,应流股份,108亿
603309,维力医疗,57亿
603311,金海环境,-
603315,福鞍股份,17亿
603318,派思股份,12亿
603328,依顿电子,143亿
603333,明星电缆,48亿
603338,浙江鼎力,49亿
603355,莱克电气,-
603366,日出东方,99亿
603368,柳州医药,77亿
603369,今世缘,166亿
603399,新华龙,51亿
603456,九洲药业,118亿
603518,维格娜丝,55亿
603519,立霸股份,30亿
603555,贵人鸟,271亿
603558,健盛集团,39亿
603566,普莱柯,-
603567,珍宝岛,158亿
603588,高能环境,113亿
603599,广信股份,-
603600,永艺股份,36亿
603601,再升科技,35亿
603606,东方电缆,52亿
603609,禾丰牧业,107亿
603611,诺力股份,39亿
603618,杭电股份,58亿
603636,南威软件,68亿
603678,火炬电子,114亿
603686,龙马环卫,122亿
603688,石英股份,53亿
603698,航天工程,168亿
603699,纽威股份,196亿
603703,盛洋科技,18亿
603718,海利生物,-
603729,龙韵股份,67亿
603766,隆鑫通用,180亿
603788,宁波高发,43亿
603789,星光农机,32亿
603799,华友钴业,125亿
603806,福斯特,218亿
603808,歌力思,58亿
603818,曲美股份,41亿
603828,柯利达,46亿
603869,北部湾旅,65亿
603883,老百姓,76亿
603889,新澳股份,37亿
603898,好莱客,73亿
603899,晨光文具,183亿
603939,益丰药房,121亿
603968,醋化股份,-
603969,银龙股份,68亿
603988,中电电机,39亿
603989,艾华集团,-
603993,洛阳钼业,830亿
603997,继峰股份,80亿
